,t,u,lambda,u_begin
0,-300.0,8.881784197001252e-16j,1667.7265832787105,(0.0061801317374516225+0.09827093676862417j)
1,-299.96337890625,(-2.220446049250313e-16+0j),1667.7111209919656,(0.0993476291196208+0.0015069071110836885j)
2,-299.9267578125,(-2.220446049250313e-16+0j),1667.6956589919346,(0.00702747510985895+0.03793853184397642j)
3,-299.89013671875,(-2.220446049250313e-16+0j),1667.6801972786095,(0.09585159398043572+0.0006360304036982179j)
4,-299.853515625,(2.220446049250313e-16+0j),1667.6647358519822,(0.06478243896004786+0.010398458734567108j)
5,-299.81689453125,-2.220446049250313e-16j,1667.6492747120446,(0.02042479959676037+0.09712460769324392j)
6,-299.7802734375,(2.220446049250313e-16+0j),1667.6338138587892,(0.053462206895165565+0.08623951591984991j)
7,-299.74365234375,(-2.220446049250313e-16+2.220446049250313e-16j),1667.6183532922073,(0.07930233765129335+0.014635167437108021j)
8,-299.70703125,(4.440892098500626e-16+0j),1667.6028930122916,(0.02523814208932055+0.04525507405784404j)
9,-299.67041015625,-2.220446049250313e-16j,1667.5874330190336,(0.08782366187659532+0.02499407597019089j)
10,-299.6337890625,2.220446049250313e-16j,1667.5719733124258,(0.045593152797070324+0.03422225931670188j)
11,-299.59716796875,(2.220446049250313e-16+0j),1667.5565138924599,(0.0023658665046027427+0.08276939768309723j)
12,-299.560546875,2.220446049250313e-16j,1667.5410547591282,(0.09947702480578342+0.033436628286466055j)
13,-299.52392578125,0j,1667.5255959124227,(0.01662928324683013+0.03298513215417011j)
14,-299.4873046875,(4.440892098500626e-16-2.220446049250313e-16j),1667.510137352335,(0.013980543393535062+0.08969130416012262j)
15,-299.45068359375,0j,1667.4946790788576,(0.09184567527815865+0.08982107555232216j)
16,-299.4140625,(4.440892098500626e-16+0j),1667.4792210919823,(0.06730570504141518+0.06377922878142388j)
17,-299.37744140625,2.220446049250313e-16j,1667.4637633917011,(0.06119868830052767+0.06882976473733408j)
18,-299.3408203125,1.1102230246251565e-16j,1667.4483059780064,(0.021664825068433792+0.07361576943242962j)
19,-299.30419921875,0j,1667.4328488508897,(0.057441408260399535+0.06565135600740765j)
20,-299.267578125,1.1102230246251565e-16j,1667.4173920103433,(0.06040600459339797+0.031141767250251418j)
21,-299.23095703125,2.220446049250313e-16j,1667.4019354563593,(0.08554950300980838+0.024344787072751808j)
22,-299.1943359375,1.6653345369377348e-16j,1667.3864791889296,(0.02947786854832826+0.0025301882280747146j)
23,-299.15771484375,0j,1667.3710232080464,(0.03607831722880176+0.02352684852366528j)
24,-299.12109375,1.1102230246251565e-16j,1667.3555675137013,(0.0035371317535916936+0.06176842123401465j)
25,-299.08447265625,1.249000902703301e-16j,1667.3401121058869,(0.07421919878423065+0.02185267011101615j)
26,-299.0478515625,(-2.220446049250313e-16+4.163336342344337e-17j),1667.3246569845946,(9.292464863770445e-05+0.03058498022460381j)
27,-299.01123046875,(-2.220446049250313e-16+5.551115123125783e-17j),1667.309202149817,(0.01896279980558745+0.012976043242162939j)
28,-298.974609375,1.1102230246251565e-16j,1667.293747601546,(0.058362631182625024+0.04588457159246221j)
29,-298.93798828125,1.1102230246251565e-16j,1667.2782933397739,(0.059072521606347995+0.05922504023719266j)
30,-298.9013671875,1.1102230246251565e-16j,1667.262839364492,(0.05172721315920972+0.01305746238172163j)
31,-298.86474609375,1.1102230246251565e-16j,1667.2473856756928,(0.003770148638737425+0.000795887298230702j)
32,-298.828125,(-1.1102230246251565e-16+0j),1667.2319322733683,(0.0643205947623932+0.04095806716263881j)
33,-298.79150390625,0j,1667.2164791575105,(0.00838362913610532+0.07586150370552625j)
34,-298.7548828125,0j,1667.2010263281115,(0.08035484053251601+0.04185288644468356j)
35,-298.71826171875,(1.1102230246251565e-16+1.1102230246251565e-16j),1667.1855737851631,(0.01627034403054709+0.0960843978496182j)
36,-298.681640625,1.1102230246251565e-16j,1667.1701215286575,(0.018377286240835924+0.05172744534402927j)
37,-298.64501953125,(5.551115123125783e-17+0j),1667.154669558587,(0.08546691164778766+0.0919034983941912j)
38,-298.6083984375,(5.551115123125783e-17+0j),1667.1392178749431,(0.04161452010575534+0.0391910449592502j)
39,-298.57177734375,(8.326672684688674e-17+0j),1667.1237664777184,(0.0329387576369632+0.07522969930605433j)
40,-298.53515625,(8.326672684688674e-17+0j),1667.1083153669044,(0.09700482249348767+0.05666728922124319j)
41,-298.49853515625,(1.3877787807814457e-17+0j),1667.0928645424935,(0.023057434344193085+0.05726122626408814j)
42,-298.4619140625,(8.673617379884035e-17-5.551115123125783e-17j),1667.0774140044778,(0.06668288904770056+0.045513060765230845j)
43,-298.42529296875,(9.71445146547012e-17-1.1102230246251565e-16j),1667.061963752849,(0.08921738780223999+0.08690267830944548j)
44,-298.388671875,(2.7755575615628914e-17+0j),1667.0465137875992,(0.02961678963947294+0.0930708025591211j)
45,-298.35205078125,(1.3877787807814457e-16-5.551115123125783e-17j),1667.0310641087206,(0.05268487778957949+0.07054173718281603j)
46,-298.3154296875,(8.326672684688674e-17-5.551115123125783e-17j),1667.015614716205,(0.0390194352937897+0.02441145018094012j)
47,-298.27880859375,(2.7755575615628914e-17+0j),1667.0001656100446,(0.06583273791872954+0.014616434081836372j)
48,-298.2421875,(8.326672684688674e-17-1.1102230246251565e-16j),1666.9847167902317,(0.05449453416606623+0.04136792973096695j)
49,-298.20556640625,(2.7755575615628914e-17-1.1102230246251565e-16j),1666.969268256758,(0.021520017413684346+0.052387303918662725j)
50,-298.1689453125,(1.1102230246251565e-16-1.6653345369377348e-16j),1666.9538200096156,(0.09755483886142775+0.010931455830033632j)
51,-298.13232421875,(8.326672684688674e-17-1.1102230246251565e-16j),1666.9383720487967,(0.06925949438839668+0.06772671033434359j)
52,-298.095703125,(1.1102230246251565e-16-1.249000902703301e-16j),1666.9229243742932,(0.0056783939399484345+0.0810163188086792j)
53,-298.05908203125,(1.3877787807814457e-16-1.1796119636642288e-16j),1666.907476986097,(0.07370750087716058+0.03800923080125377j)
54,-298.0224609375,(1.6653345369377348e-16-1.5092094240998222e-16j),1666.8920298842004,(0.045784907254834396+0.05393810529425408j)
55,-297.98583984375,(5.551115123125783e-17-1.457167719820518e-16j),1666.8765830685952,(0.09442594322627845+0.04820803870929252j)
56,-297.94921875,(9.71445146547012e-17-1.5959455978986625e-16j),1666.8611365392737,(0.037524145466375426+0.08543711401241433j)
57,-297.91259765625,(6.938893903907228e-17-2.1510571102112408e-16j),1666.8456902962278,(0.04061286197494466+0.07379970974707965j)
58,-297.8759765625,(1.3877787807814457e-16-2.0816681711721685e-16j),1666.8302443394496,(0.05559169276775963+0.05693394320132934j)
59,-297.83935546875,(6.938893903907228e-17-2.0816681711721685e-16j),1666.814798668931,(0.04333280285331834+0.09886871944253268j)
60,-297.802734375,(6.245004513516506e-17-2.498001805406602e-16j),1666.7993532846642,(0.08751558886615997+0.07653736434757484j)
61,-297.76611328125,(5.898059818321144e-17-2.3592239273284576e-16j),1666.7839081866412,(0.06398005424924962+0.06020850492964474j)
62,-297.7294921875,(1.249000902703301e-16-2.636779683484747e-16j),1666.7684633748538,(0.012159399819554807+0.09124228949974567j)
63,-297.69287109375,(-1.734723475976807e-18-2.2898349882893854e-16j),1666.7530188492944,(0.05447172826250468+0.07569862908758011j)
64,-297.65625,(2.5153490401663703e-17-2.5673907444456745e-16j),1666.737574609955,(0.02827214512795323+0.055487246613250385j)
65,-297.61962890625,(2.7755575615628914e-17-2.2898349882893854e-16j),1666.7221306568274,(0.046763291087813644+0.09668593518755358j)
66,-297.5830078125,(4.5102810375396984e-17-2.498001805406602e-16j),1666.7066869899038,(0.02820823208740795+0.09551770859918686j)
67,-297.54638671875,(-6.938893903907228e-18-2.3245294578089215e-16j),1666.6912436091764,(0.029320332543867123+0.08308775607531259j)
68,-297.509765625,(1.0408340855860843e-17-1.8735013540549517e-16j),1666.6758005146369,(0.09336555184563931+0.06627517463174819j)
69,-297.47314453125,-2.0990154059319366e-16j,1666.6603577062776,(0.07688150356788324+0.046489405169784614j)
70,-297.4365234375,-2.177077962350893e-16j,1666.6449151840907,(0.09364883270587843+0.03258945750576089j)
