,t,u,lambda,u_begin
0,-300.0,(-4.440892098500626e-16+0j),1667.7265832787105,(0.055604830029580166+0.09580645951109745j)
1,-299.96337890625,(-4.440892098500626e-16+0j),1667.7111209919656,(0.04178658142217473+0.08873016631371095j)
2,-299.9267578125,(-2.220446049250313e-16+0j),1667.6956589919346,(0.06499849444424806+0.09968296133020921j)
3,-299.89013671875,(-4.440892098500626e-16-8.881784197001252e-16j),1667.6801972786095,(0.05638153273100956+0.06402053628168418j)
4,-299.853515625,(-4.440892098500626e-16+0j),1667.6647358519822,(0.08862071094336606+0.07988439026324388j)
5,-299.81689453125,(-4.440892098500626e-16-8.881784197001252e-16j),1667.6492747120446,(0.02197328410551711+0.041470009593220475j)
6,-299.7802734375,(-2.220446049250313e-16+8.881784197001252e-16j),1667.6338138587892,(0.017537597616675383+0.04391098266801635j)
7,-299.74365234375,(-2.220446049250313e-16+0j),1667.6183532922073,(0.08257855949795044+0.0032838150635306155j)
8,-299.70703125,(-2.220446049250313e-16+0j),1667.6028930122916,(0.0775378802369625+0.07906511242543322j)
9,-299.67041015625,(-2.220446049250313e-16+0j),1667.5874330190336,(0.016642068465424698+0.05264583034262878j)
10,-299.6337890625,0j,1667.5719733124258,(0.04650753827053875+0.007360553531500647j)
11,-299.59716796875,0j,1667.5565138924599,(0.06432230239887864+0.05669599890010257j)
12,-299.560546875,(-2.220446049250313e-16+0j),1667.5410547591282,(0.061093751523673134+0.08197523777652926j)
13,-299.52392578125,(-2.220446049250313e-16+0j),1667.5255959124227,(0.018678932663862058+0.025326301699638912j)
14,-299.4873046875,0j,1667.510137352335,(0.025381974122930043+0.008364740561290286j)
15,-299.45068359375,0j,1667.4946790788576,(0.028252233225957393+0.04103663035476146j)
16,-299.4140625,(2.220446049250313e-16+0j),1667.4792210919823,(0.08325688933686283+0.012710814946515958j)
17,-299.37744140625,(2.220446049250313e-16+8.881784197001252e-16j),1667.4637633917011,(0.04573025078000788+0.013572311642313983j)
18,-299.3408203125,(2.220446049250313e-16+0j),1667.4483059780064,(0.07104754900704248+0.0871324229919808j)
19,-299.30419921875,0j,1667.4328488508897,(0.054030922462390434+0.04069524432281142j)
20,-299.267578125,(2.220446049250313e-16+8.881784197001252e-16j),1667.4173920103433,(0.039756713553955936+0.07503338226526284j)
21,-299.23095703125,(4.440892098500626e-16+8.881784197001252e-16j),1667.4019354563593,(0.0425919049375193+0.08980004305010816j)
22,-299.1943359375,0j,1667.3864791889296,(0.0964310921830478+0.05268626573202473j)
23,-299.15771484375,0j,1667.3710232080464,(0.016407303741874803+0.06775736179985027j)
24,-299.12109375,0j,1667.3555675137013,(0.02720109755028909+0.02133617212139203j)
25,-299.08447265625,(2.220446049250313e-16+0j),1667.3401121058869,(0.020432441153224224+0.016942030652169395j)
26,-299.0478515625,0j,1667.3246569845946,(0.04844892421735181+0.04658793897582674j)
27,-299.01123046875,0j,1667.309202149817,(0.0788744650560469+0.060661959544391644j)
28,-298.974609375,0j,1667.293747601546,(0.07082889745365444+0.0443804834086771j)
29,-298.93798828125,(2.220446049250313e-16+0j),1667.2782933397739,(0.07984155406631438+0.08140825494858195j)
30,-298.9013671875,(2.220446049250313e-16+0j),1667.262839364492,(0.0957493832329857+0.04831538004535163j)
31,-298.86474609375,(4.440892098500626e-16-4.440892098500626e-16j),1667.2473856756928,(0.058777937173858735+0.026846732554380137j)
32,-298.828125,-4.440892098500626e-16j,1667.2319322733683,(0.07723262129168901+0.07849346532060626j)
33,-298.79150390625,0j,1667.2164791575105,(0.05258775407446532+0.04012599115345934j)
34,-298.7548828125,0j,1667.2010263281115,(0.008525488851719476+0.060480845814666756j)
35,-298.71826171875,(-2.220446049250313e-16+4.440892098500626e-16j),1667.1855737851631,(0.001101834375700439+0.004791528232915599j)
36,-298.681640625,(-2.220446049250313e-16+0j),1667.1701215286575,(0.045577639641573166+0.005548026972276543j)
37,-298.64501953125,(-2.220446049250313e-16+0j),1667.154669558587,(0.08991248328642287+0.014534809376851554j)
38,-298.6083984375,4.440892098500626e-16j,1667.1392178749431,(0.07311110365470042+0.03895751366322858j)
39,-298.57177734375,(2.220446049250313e-16+4.440892098500626e-16j),1667.1237664777184,(0.016089814941765822+0.0637353854049045j)
40,-298.53515625,(2.220446049250313e-16+0j),1667.1083153669044,(0.09480515058131456+0.06046042610730051j)
41,-298.49853515625,(-2.220446049250313e-16+0j),1667.0928645424935,(0.02625981998626006+0.015230155397021794j)
42,-298.4619140625,(-2.220446049250313e-16+4.440892098500626e-16j),1667.0774140044778,(0.026225483195001398+0.022513183500947123j)
43,-298.42529296875,(-2.220446049250313e-16+0j),1667.061963752849,(0.09656988249342367+0.07203480814329337j)
44,-298.388671875,(-2.220446049250313e-16+0j),1667.0465137875992,(0.00034546229740662905+0.07648762731389924j)
45,-298.35205078125,(-2.220446049250313e-16+0j),1667.0310641087206,(0.015425693393303264+0.0986426399709075j)
46,-298.3154296875,(-2.220446049250313e-16+4.440892098500626e-16j),1667.015614716205,(0.035823979452022835+0.060210320131543094j)
47,-298.27880859375,0j,1667.0001656100446,(0.09510264351735775+0.046529647600590945j)
48,-298.2421875,(-2.220446049250313e-16+4.440892098500626e-16j),1666.9847167902317,(0.07010274505737815+0.0653754263019707j)
49,-298.20556640625,(2.220446049250313e-16+4.440892098500626e-16j),1666.969268256758,(0.052070491653691424+0.023371261036713522j)
50,-298.1689453125,(-4.440892098500626e-16+0j),1666.9538200096156,(0.021863681993264918+0.04811960270254576j)
51,-298.13232421875,(-1.1102230246251565e-16+8.881784197001252e-16j),1666.9383720487967,(0.0830840910909688+0.020828109443861067j)
52,-298.095703125,(-2.220446049250313e-16+0j),1666.9229243742932,(0.06110556822771404+0.06468047581745999j)
53,-298.05908203125,(-1.1102230246251565e-16+8.881784197001252e-16j),1666.907476986097,(0.07691069310391063+0.004095663081174994j)
54,-298.0224609375,0j,1666.8920298842004,(0.009260384952529245+0.005180778432933953j)
55,-297.98583984375,2.220446049250313e-16j,1666.8765830685952,(0.08899174573097636+0.06702272600461077j)
56,-297.94921875,(-1.1102230246251565e-16+0j),1666.8611365392737,(0.025860978566244332+0.049562178346641575j)
57,-297.91259765625,(-1.1102230246251565e-16+4.440892098500626e-16j),1666.8456902962278,(0.08438674469467068+0.0599758608268156j)
58,-297.8759765625,0j,1666.8302443394496,(0.019098385293093004+0.06185426768892648j)
59,-297.83935546875,(-1.1102230246251565e-16+4.440892098500626e-16j),1666.814798668931,(0.018715342434690595+0.07396529281653293j)
60,-297.802734375,0j,1666.7993532846642,(0.00397348882078713+0.04835200368972187j)
61,-297.76611328125,4.440892098500626e-16j,1666.7839081866412,(0.02927923628720527+0.08876640018741903j)
62,-297.7294921875,4.440892098500626e-16j,1666.7684633748538,(0.08489238517005536+0.005784942746395994j)
63,-297.69287109375,(1.1102230246251565e-16+4.440892098500626e-16j),1666.7530188492944,(0.004419833589994504+0.04649508019300583j)
